stopword,sentimen
diinformatika full coding mas penelitian paper masuk tahap belajar implementasi,positif
thank you videonya,positif
semester sih semester sih semester masuk pemrograman web dasar semester python full senyum matkul,positif
anjir emotional damage,positif
kelass,positif
sih kampus ane kagak,negatif
kak coding mengomong computer pakai bahasnya,positif
software ngedit pakai,negatif
nitip,positif
capcut,positif
premiere amp capcut,positif
abang tolong bahas pekerjaan bidang dicari,negatif
dicari sih front end,positif
gue lupa nama apk ya disitu permintaan front end back end full stack,negatif
infokan apk,positif
data science bang,positif
suka topik non tutorial programmer baca buku yuk mari,positif
abang update pembelajaran tailwind css,positif
mahasiswa pertanian bertani banget konoha,positif
programmer belajarlah algoritma struktur data matematika statistika basis data terinci pahami konsep konsepnya kepala,positif
terima kasih sarannya mas joko,positif
jaman recruitment kasih sebutkan min eventlistener js kasih sample onclick coba pesertanya dreamweaver,positif
matematika belajar bahasa pemrograman html css javascript python php coding nilai matematika rendah,negatif
salah pas javascript aritmethic operator ngitung abang html isinya ngitung kayak hafalin fungsinya command,negatif
sih lulusan stm otomotif benerin motor rusak kayak hahaha tujuan kulian pengin teman orangnya introvert teman ya salah satunya kuliah ya pas kuliah temannya hahaha teman programmer teman mengajari mengajak kerja ditempatnya programmer hehehe,negatif
malu,negatif
semester teknik informatika kuliah kerja tertarik kotlin ambil matkul android persiapkan lanjutkan kepuasan belajar kotlin,positif
kuliah informatika universitas swasta ya senang masuk informatika matematika ya ya pas semester kuliah saran masuk teknik informatika ngambil kecerdasan buatan ya belajar matematika,positif
share pengalaman kerja merasai namanya kesengsaraan lelahnya enak lelahnya orang mikir menurutku kuliah serius mending coba kerja biar bedakan lelahnya mikir lelahnya kerjamu dibawah tekanan wow mindblowing membutuhkan kesabaran kuat gajilu dikit krasa kuliah semangatlah ganti jurusan gantilah cari minati putus jalan semangat jalan untukmu perjuangan btw berjuang yakinlah hasil mengecewakan,positif
ampun penistaan informatika,negatif
smst coding dikit nasib masuk pas corona jdnya online berasa kejebak ngapa niat kuliah ngerjain tugas mah kuliah offline duluan skillnya huhu,negatif
belajar tama berasa enggk,positif
kerja abang,positif
masuk anak ipa ngambil jurusan ips ya kgk ngambil informatika gue belajar kayak bahasa sih lulusnya,negatif
spesialisasinya network system informasi ya wajar coding spesialisasi ilmu komputer teknhik komputer rekayasa perangkat lunak jago koding,positif
koding dokter nyuntik,positif
abang hilmam belajar coding nih paham pekerjaan belajar coding sibuk pekerjaan apakh belajar umur tuaa,positif
untung kuliah ti biaya ya walupun swasta pengin programmer sesuai kuliah diambil utama ya pas belajar konsisten ngulang paham belajar skip fokus duh pengin programmer ahli adakah saran,positif
mengikuti panduan konsisten belajarnya,positif
gue lulusan coding gua pengin anak laki ya sarjana otomatis kwalahan gua demen ya manajemen ya lulus coding susah pas interview kerja,negatif
selamat melanjutkan pilihan hidup belajar apapun pilih,positif
bikin benci model anaknya cita ya sukses bahagia pilihan anak,positif
abang suka coding kurikulum kampus disaat kampus pakai dart python etc java php,positif
iyes orang berbeda,negatif
menonton,positif
mengobrol santai bapaknya,positif
min lulus sarjana belajar coding otodidak diusia relate kerja sih,positif
iyes,positif
anak koding ya anak anak anak koding,negatif
semangat belajar coding v komputer pc btw abang bahas apk coding android heheh,positif
iyes semangat laptopnya berdoa,positif
share ya abang anak coding disayangkan lingkungan orang basic ya anak coding usaha baca kepepet ngodingnya membangun aplikasi mengintegrasikan hardware microcontroller plc dll pembuatan aplikasi antarmukanya modal googling sih teman benaran cinta dunia teknologi usahakan membaca cari contoh pengalaman dunia kerja teknisi pimpinan tau basic tau teknisi musti benerin listrik musti benerin genset musti setting router routing tunneling firewalling dll musti benerin alat alat khusus penginderaan penginderaan alat sensor microcontroller musti bangun server integrasiin kedalam web pantau via website hadapi senyuman,negatif
terima kasih sharingnya,positif
bro gua kaya intinya plc arduino mekanikal elektrikal pnglmn bicra kerj nyata lpngnn basic ijzh pelengkap formalitas,positif
intinya belajar kmpus pt krja gogling,negatif
latihan koding takut salah sih nyeselnya andaikan diulang i will study harder,negatif
hey mas,positif
abang gue mtk jago inggris jago mending,negatif
nice,positif
poinnya motivasi kuliah ya abang salah jurusan jurusan diambil alternatif alhamdulillah kesempatan kuliah belajar rekan rekan senior ditempat kerja mengajari bermodal nekat membaca buku buku gramedia youtube bos bos mensupport mengajari berbanding terbalik kawan kawan kesempatan kuliah membully dibanding mensupport belajar intinya tergantung berkawan bergaul carilah teman memotivasi semoga cerita motivasi kawan kawan patah semangat belajar,positif
ya seniornya lingkungannya belajar keren,positif
alhamdulillah abang beruntung mahasiswa ya kondisi mahasiswa mah enak tutorial online youtube bootcamp,positif
ya abang tutorial tutorialnya belajar menambah skill,positif
belajarnya kak,positif
belajar otodidak buku youtube channel,positif
gue html css,positif
adik adik kuliah coding tanamkan pikiran lulus programmer mindset,positif
kuliah dosen orang kelas coding orang teroris,negatif
lo koding abang,negatif
orang awam lulusan koding bootcamp tertarik mempelajari pengembangan web belajar gue school freecodecamp mencoba project ragu bersaing lulusan dunia kerja,positif
iya membuktikan,positif
pakai banget,positif
abang jurusan sistem informasi teknik informatika bingung,negatif
ambil sih kayak ngerancang sistem aplikasi kayak bangun rumah sediakan ambil ti minimal banget coding belajar teknik informatika intinya ti praktek langsung ngebuat aplikasi,negatif
step by step mysql,positif
keahlian coding mhs keahlian memasak koki,positif
trimakasih keren,positif
abang buka kelas online,positif
cek sekolahkoding com,positif
mengatur ya jujur gue suka kerja bebas terikat instansi aman mindset kayak gua,positif
menarik pertanyannya bahas video berbeda ya,negatif
kuliah coding mengarah networking,positif
kaok cyber security belajar sih,positif
kadang security coding ya,positif
iyes no problem jalan,positif
suka enek,positif
haha iya khannn,positif
dibulan romadhon penuh barokah mari semoga channel channel sejenis melahirkan orang orang al khawarizm john von neumann donald e knuth amin,positif
amin,positif
sekolab abang suka coding belajar pelan hehe subscribe chanel abang hehe tau biar sekolah ilmu ya,positif
bang lulusan sd kemauan sih,positif
jurusan teknologi pendidikan terimakasih motivasinya,positif
perusahaan coding abang support dimana jobdesk ya maintenance hardware jaringan infrastruktur kenyataannya dunia kerja terbagi support developer software enginer helpdesk coding porsinya diawal belajar coding pindah haluan support dev mudah n,positif
dunia luas coding disesuaikan kesempatan share,positif
min,positif
bekrja perusahaan coding kebnyakan maintenance hadware jaringan desain,negatif
pindah abang,positif
gue coding lemot banget makannya enjoy bikin verctor art,negatif
bebas pilihan hidup dipelajari sempurna,positif
gas ya kayak wkwk,positif
pengalaman coding pekerjaan teknis hapalin terpenting konsep kodingan teknis taruh github keterangan tinggal kopas alhamdulillah methode berhasil menyimpan source code blog pengkondisin logika,positif
nice share mas noviyanur,positif
keren terima kasih hilman videonya menginspirasi,positif
gung,positif
penistaan informatika,positif
lulusan hilman belajar codingnya seinget php bikin web sederhana pakai dreamwever lulus kerja bidang banget ketinggalannya pengin belajar dunia kerja sia sia ya hilman,negatif
sia sia menikmati bermanfaat tidka,negatif
terima kasih hilman,positif
kuliah kursus blk bootcamp full stak metode belajar efektif,positif
semangat kuliah intinya,positif
anak benerin kipas angin,positif
noooooo,positif
pemrograman aplikasi koding wss js oop ya fast build,positif
share abang masuk informatika pilihan abang masuklah kampus swasta jalur beasiswa abang paham diajari kampus kurikulum diajarkan basic ya kupu kupu belajar kursus bahasa pemrograman hackaton project mandiri mengajar basic koding teman teman butuh ipk pengalaman pribadi kerja modal masuk dunia kerja ya abang,positif
nice jalan belajar masuk dunia kerja terima kasih share cerita,positif
memilih sibuk mengikuti organisasi teman ku fokus menggalin ilmu diluar kampus saran gan,positif
cari kegiatan diluar kampus,positif
kak bilang coding aoa ya kak syarat google library ya kak mohon bingung kriteria orang anggap coding,negatif
bikin kerja orang dimau pemberi kerjanya catatan dipelajari,negatif
super mas,positif
super imam,positif
kuliah jurusan ya minimal basic coding mata kuliah ya kurikulum ya,positif
semangat upload ya abang hilman,positif
terima kasih azis semangatnya,positif
codingnya nech buktikan coding,positif
haha maksudnya,positif
pernyataan,positif
ayo cari foldernya,positif
aowkwkw foldernya kebanyak lupa namanya,negatif
wibu coding,positif
mas eko mobile dev burn out pekerjaan ilmu miliki diam pengin berhenti bertahan sembari belajar dunia btw start dunia umur pengusaha solusi terima kasih eko,positif
memutuskan fokus belajar otodidak web development kerja haha pusing belajar mencari kerja pindah bidang achievable kayak bodo pekerjaan bagus gas,positif
coba bikin product an,positif
coba nih luang cuan mikirnya,negatif
setuju eko jualan sembako lulusan skill ku jadikan pekerjaan smpaingan menambah modal jualan tahunan ku begit pasar menurun mengucapkn bismillah berhenti jualan fokus sulit sih jualan tekat kuat anak istri ku biayai alhamdulillah bertahan tekniknya project hasilnya mencari project boros beli barang perlukan ambil kesempatan ragu,positif
konten sharing kayak pikiran dunia terbuka,negatif
sependapat sarannya diomong idealis perfeksionis muluk muluk sederhana kenyataan sehari,negatif
telat videonya abang wkwk coba upload,positif
teman teman masuk dunia pikir pikir masuk ksrena serba artificialintelligence,negatif
kerja software engineer setahun nganggur,positif
i don t understand why some people would still use this clickbait strategy yeah sure will influence viewers click but sparking an anxiety feeling hell no anddd its always this type of video comes up whenever i start thriving on something ughhh good attempt on the title thumbnail,positif
fomo pengin masuk ujung ujungnya pengin programmer basic dasar mengoperasikan komputer troubleshooting perangkat software hardware ranah pendidikan akademisi sekolah kampus jurusan jualan janji manis lulus programmer gaji gede kampus kampus membuka jurusan basis tenaga pengajarnya mengajar latar sesuai diampu awam menganggap bidang ntuh coding bikin program doang mayoritas kampus fokus bikin anak didiknya pintar coding banget bidang supply programming,negatif
sumber artificialintelligence amatir menyusun script ilmu koding masukkan prompt kecepatan menganalisis error kalah main otak artificialintelligence encer seiring berjalannya kedepannya ahli punah jarvis tony stark mengandalkan jarvis menyelesaikan,negatif
gue belajar coding kerja senang belajar,positif
switch pengusaha ketimbang terusan,positif
transisinya gila sabar belajar semangat gess,positif
apalah semester dikasih tanda tanda beranda,negatif
dikampus gue anak informatika dikit orangnya pindah jurusan,negatif
gue jurusan passion gede kadang juara kelas dikit langsung sok masuk kedokteran kecintaan pengalaman bidang menunjukan passion bidang,negatif
kesini gara gara imphnen,negatif
bagus dunia,positif
agree gue menyesal masuk mending elektro indonesia kadang dianggap kayak admin pakai komputer permintaan aneh impossible kadang dikasih,negatif
bruh gue elektro pengin wkw,negatif
gue masuk pengin game gue kerja ngegame capek jelasinnya abang support perangkat bagus ngerender yaudalah mencoba jelajah programmer web buset gue mudah bejibun banget metodenya gue ambang kebingungan,negatif
abang pns proggrammer,positif
great advice from echo,positif
terima kasih semoga guru sehat,positif
kebanyakan teori lol,negatif
gue deepseek artificialintelligence jurusan diambil muda mudi indonesia teknik informatika wajarlah saingan banget,positif
backend developer usia lulusan alhamdulilah maju kerja pedagang bangkrut pas corona belajar coding otodidak bootcamp online semoga teman kerja mudahkan usahanya amin,positif
umur lulusan dagang online supplier bankrut covid otomatis bangrut belajar koding tahunan kerja tips cari lowongan programmer abang,positif
kuncinya rajin rajin ngoprek rajin baca referensi lupa rajin berdoa,positif
mending lahan diambil artificialintelligence,negatif
terlanjur mencebur,negatif
masuk kuliah umur ketar ketir keputusan ku pilih,negatif
banting stir dunia warehouse alhamdulillah software engineer masuk kasusnya konten bedanya langsung tawaran teman butuh progremmer,negatif
efek relasi jaringan teman,negatif
abang,positif
ijin sharing pengalaman lulus pengin kuliah keterbatasan biaya memutuskan kerja ya alhamdulillah rezeki kuliah proses transisi gudang kuliah kelas karyawan menginjak semester kampus pindah transisi gudang junior python programmer eko transisi membangun porto melamar company melepaskan pekerjaan pegawai gudang perusahaan,positif
junior python ranah nya abang seputar web development data science ml,positif
ijin share memilih masuk dunia breakdown basic knowlegde minat seratus kali jalur pilih contoh sederhana masuk dunia pilih kategori development network cyber desain dll setelahnya pilih sub categori dev mobile desktop aps website ambil network karir utama kayak network engineer ambil cybersecurity defensive offensive jalur butuh dipilih dipertimbangkan berdasarkan kemampuan kemauan mending memaksimalkan usaha ujung ujungnya menyerah jalan pribadi background buruh tani lulusan memilih jurusan tkj join jurusan otomotif berhubung terima kelas tkj mencoba mengenali komputer dll memfokuskan network berkarir network engineer an technical support salah isp indonesia motivasi apapun niat usaha berhenti belajar mengikuti perkembangan teknologi point,positif
topik panas,positif
gue switch guru umur transisi berat umur mlai beljar coding mengajar kondisi berkeluarga anak sadar gaji guru mimpi programmer marahin istri kerja transisi belajar habis mengajar pkknya switch mental pertimbangkan komunikasi keluarga menikah pkknya mantap perjuangannya switch kerja eh habis korona phk alhmdulillah phk kerja switch karir pikirkan mateng siapin skill mental kuat,positif
tau total belajar abang full otodidak,negatif
jalan mntap sekli mas dibilang kerja numpang makan doang lo dll niat butuh kerja tanggugng kepala keluarga,negatif
mengalami mas doanya ya,positif
maturtengkyu eko pencerahannya,positif
iya susah kerja sekolah sekolah butuh gunting langsung beli gunting sekolah butuh sound kamera tenda langsung sewa bersedia bayar jutaan sekolah butuh website sifat ya ya gratis aduh,negatif
masuk pamer jago programing kampus sih gapapa perusahaan mencari kampus membikin app perusahaan pegawai karyawan tetapnya pekerjaan perusahaan formal seumur hidup freelance freelance kantor pajak memperbaiki komputer terserang virus pengadaan komputer lab sekolah maintenance komputer kantor gubernur bag setwilda maintenance jaringan komputer kantor notaris bandung garap website kabupaten bikin program data pasien rumah sakit negeri bikin program klinik kesehatan bikin program kasir rental buku komik rental vcd bikin program database data nasabah bank pasar umur fokuskan keahlian membangun website menjual produk fisik digital mengelola traffic follow up calon klien pakai autoresponder bikin video produk posting iklan network ads kerjain dsitu freelance orang perusahaan mengapai freelance lu membangun bisnis lu pekerjaan orang butuh tenaga tambahan karyawan kerjakan menghemat biaya kerja digital nomad,negatif
jujur sih pribadi senang mendengar berita cita tercapai terkendala kondisi finansial keluarga memiliki keterbatasan sulit belajar komentar sinis amp arogansi duga berasal geeks tech bros pegawai kantoran stem adjacent kompetitif jago kena lay off duluan limit manusia dituntaskan grinding code monkey bakat alami menyaingi kemampuan berpikir linear artificialintelligence hhh misery love company,positif
masuk dunia saingan hehe,positif
saingan lo manusia artificialintelligence efisien digaji,positif
full time scroll fesnuk,positif
gue banting stir gue resign pekerjaan gue atur pagi berangkat habis pulang alhamdulillah menghasilkan freelance capek senang ya dijalanin cuman resikonya burnout parah,negatif
frelance bidangap abang,positif
teman teman kayak struggle lamar lulusan kemarin susah banget tembus ya kadang mentok testing orang interview user background sarjana mobile dev notabene saingan ya kayak web dev sulit ya maa syaa allah,negatif
info course jetpack compose,positif
pekerjaan solved problem dunia nyata loker ya menipis artificialintelligence kemngkinan memakan job subur tenggelam cari lini,positif
ya intinya banting setir bidang kerja manapun intinya antisipasi terburuk peralihan ya soft landing mudah tanggungan memiliki keluarga,negatif
mending buka fesnuk,negatif
masuk kuliah perusahaan internasional memilih jasa india murah terkenal belajar modal internet oversuply ketiga orang orang network engineer perusahaan butuh orang menangani perusahaan,positif
bersyukur masuk dosen melulu programmer perusahaan guru mentor les dosen,positif
terimakasih eko menyediakan video bagus penjelasannya detail mudah ikuti terimakasih course discord github eko keren habis kerja bidang pepatah bilang bergerak diam ditempat kantor pusing ngadepin teman menonton video hahahahahhaa malu eyyy doa motivasi orang video eko motivasi btw jaketnya eko beli course course doang jaketnya abisan tambahan masuk saran teman bilang masuk ajjah tau cuman main msword ajjah sebatas terlanjur masuk salah langkah salah kodarullah doa terkabul,positif
sampingan ngerjain project teman kampus,positif
gelooo mas muto rekan kerja panutan kantor aing respect keep strugle mas muto,positif
umur wajar susah mencari kerja dunia loker indonesia limit usia max,negatif
abang eko blibli bagus eko spill lowongan blibli,positif
menonton film upstream ilustrasi,positif
om mahir frontend terbilang belajarnya intens,positif
ijin berbagi pengalaman usia postingan pendidikan sarjana dasar sd pekerjaan jualan dipasar pekerjaan front end dev sebuat company lumayan gede keterima diusia sekian proses transisi gara gara virus kornet jualan sepi berani invest pc odong odong dirumah dulunya sekedar hobi motifasinya beda anak istri nafkahi sepulang pasar begadang belajar coding full otodidak bikin project pribadi income tambahan project pribadi jadikan porto apply company keterima barulah lepas total pekerjaan,negatif
keren mas semangat,positif
jualan kerja dimana gan terjun dunia profesional,positif
pekerjaan berhubungan,positif
belajarnya mas total belajar perhari jam,positif
ketemu orang test leetcode hacker rank ya bagus logicnya porto pengalaman anehnya orang test belajar framework membutuhkan minggu memahaminya curiga orang kuat logik flexibel penyusaian stact kejadian jaringan error supoort cuti ku suruh progammer benerin uang tambahan,negatif
mempelajari framework faham minggu cepat software engineer faham jaringan tahunya job desk support bilang orang kerja bidang google pindah perusahaan kudu diajari dikerjaan pakel tool framework internal buatan google tekankan eks google diajarkan penggunaan tool framework notabene butuh perusahaan,negatif
penjelasan video memperingati masuk dunia ya dunia startup programmer web development web development pengalaman dunia posisi salah perusahaan meniti karir dunia ketinggalan ilmu dunia programmer portfolio insecure dunia dunia banting stir bidang teman teman saran bidang,negatif
sulit banting stir bidang beda bidang,negatif
coba field pertambangan sih kak kerja,positif
orang awam tau coding luas banget cabang digali abang,positif
iya magicom benerin ac benerin kompor dll,positif
kreatif video terimakasih,positif
eko join berbayar programmer architect perbedaannya ya pembelajar pemula tolong masukannya terima kasih,positif
curhat eko,positif
terlambat,negatif
lulusan sarjana tulisan belepotan,negatif
ilmu hobi sampingan pribadi kerja gila serius kerja bidang,positif
saia banget sih memikirkan bug terbawa mimpi,negatif
lulusan pekerjaan lulus non kerja mencari indak lolos maksa mending menjalani,negatif
kerja abang,positif
luas pemrograman jaringan dll pekerjaan memiliki passion banting setir resign langsung kerja prorgamer memiliki passion basic skill disana programmer tergiur uang berpikir gaji dituntut beban kerja berat fokus berjam jam monitor coding debug deploy dll dengar kalimat i programmer i have no life paham semanis orang,negatif
terima kasih kak pendapat judul vidio masuk dunia menganggap judul vidio garis bawahi masuk dunia cocok pelajar melarikan tugas pelajar setuju pendapat mas transisi krusial dimana mengutamakan proses hasil alasan progres dunia,positif
jaman orang demen masuk teknik kedokteran jaman entar jurusan ilmu ilmu mars,negatif
bidang teknik kedokteran mending perkembangan ya secepat amp talent sebatas otodidak bootcamp,positif
saturated talent penyerapan bisnis berkurang ditambah bersaing artificialintelligence,positif
bikin exit plan nabung sbanyak ya wkwkwk,positif
perusahaan ambil admin kelola app user alias beli aplikasi beli mahal gaji admin rendah rekrut programmer,negatif
perbedaan devops programmer ya cari chatgpt paham,positif
coding outputnya beda devops otomasi deployment programmer penyelesaian permasalahan bisnis matematis algo komputer,negatif
nih akibat fomo tertarik devops bisanya js,positif
belok background sarjana matematika ikutan sharing hasil sih belok web development terlepas tau sih dengar dengar gaji lumayan tau resiko kerjaannya niat sih pengin wirausaha kedepannya pengin ngedevelop website usaha ya keputusan pindah alasan basic matematika salah penopang belajar algoritma kampus matkul terkait pemprograman komputer dimana ngedesain website fullstack basic banget html php murni pastiin pindah jalur pastiin tekat bulat seyakin yakinnya pikirin serius jamin mental kuat ujung ujungnya kena mental singkat membulatkan tekat resiko nekat bootcamp hasilnya langsung terima step sih lewatin belajar serius kuasain basicnya kembangin praktek belajar teori eksperimen bikin basicnya basic coba baca baca hasil pekerjaan orang ngeshare hasil pekerjaan bagus pelajari bagus coba pikirin perbaikannya efektifkan ketiga cobalah develop product konteks ya website product bukti terkuat sejata terbaik pindah jalur mencari pekerjaan pegawai kenyang balas pengalaman kerja mencari pengalaman magang kenyang balas background sesuai kenyang ngebaca background pengalaman senjata portofolio product satunya senjata keempat malas malas mencari lowongan mencari job portal linkedin senjata portofolio product cari banyaknya peluang menemukan portofolio ane situ cek lamaran coba sehari ngelamar minimal suruh lembaga sih angka minimalnya maksimal senin lamaran pengalaman pribadi ya lamaran job portal pakai job portal memasuki lamaran buah rejekinya situ takut gagal pas tes wawancara jadikan menambah informasi terkait kompetensi kompetensi mestinya miliki pembelajaran next wawancara tes contoh belajar fokus development wawacara terkait unit testing ya tau bahan belajar wawancara sekian ya contoh sih memanfaatkan informasi wawancara tes seleksi kuatkan mental ges v bilang seiring banyaknya lamaran kirim harinya salah efeknya email balasan terima kasih melamar sih kali sebulan efeknya tambahan lupa data lamaran simpan minimal posisinya nama perusahaannya link melamar kepake banget pas mencari informasi terkait perusahaan lamar pas balesan mikir ngelamar kemana ya kemarin kwkwwkwk pertegas mental kuat mending pikir ulang pindah jalur ya ges,positif
pakai artificialintelligence ya nulisnya wkwkwkwk,positif
serapih ya pakai artificialintelligence,positif
alhamdulillah bang kesempatan magang perusahaan ctonya orang indonesia,positif
total belajar abang tahap apply,positif
ane pelatihan alhamdulillahnya sih apply perjuangannya masyaallah ane anggap beruntung setahunan sebulan pekerjaan ane latar pengalaman wawancara cek full portofolio fungsi dstnya,positif
pengin dunia burnout parah,negatif
jualan wirausaha menguntungkan dgk pikin puyeng kepala kali,positif
wirausaha tuh abang,positif
jus bebek,positif
gann,positif
garis bawahhi bersangkutan ahli bidangnya menghasilkan bermanfaat bidang pelajarinya walhasil perusahaan mikir rekrut track record outputnya harapkan perusahaan pasar,positif
fokus keahlian jobnya ya abang,positif
ya apapun at least tembus barrier terendahnya level up,positif
ijin berbagi pengalaman pemerintahan tau birokrasi pemerintahan kotor anggap lumrah pulang ngantor ngojol pulang ngojol belajar pemorgraman jam sarjana malam kenal pemrograman jurusannya otomotif hobi puluhan cita terealisasi laptop dsb rejeki rakit pc harga juta fokus kesitu harapan pekerjaan serba abu pemerintahan alhamdulilah apply diterima disuatu perusahaan dijakarta diumur mudah an dipermudah menghidupi anak istri rejeki,positif
mantab bro inspiratif work ethic ya,positif
mantaps abang rakit pc juta kayak kisah perjalanan ya,positif
amin,positif
kelas king berjuang ekonomi layak halal,positif
orang masuk gaji gede suka proses belajar ya kerja susah masuk kampus negeri jurusan kayak masuk kedokteran persaingan ya ketat banget,negatif
rekomendasikan langsung switch kaget,positif
berlaku bidang sih eko switch trader prop firm kuliah semester skripsi malam kuliah pelajari tuh trading prop firm perusahaannya mekanismenya selesai sidang skripsi ya memutuskan oke switch switch coba pelajari peluang kerjanya n coba kerjain income melebihi resign,positif
bre mahasiswa jurusan semester maret oke jurusan mulau menyambung bikin project animasi dibandingkan switch jurusan terlanjut uang saran bre khawatir keahlian jurusan menyambung sulit melamar kerja,positif
belajar transisi full switch karir belajar mandiri belajar dimana selagi niat tool internet,positif
masuk dunia guys banget saingannya,positif
dunia kerja cpns,positif
kesalahan kebanyakan orang banting setir all alias lata memikirkan transisi dunia dunia lainpun dunia content creator investasi orang all pindah,negatif
seminar motivasi motivator visi tanggung tanggung langsung terjun menoleh,negatif
terimakasih eko resign pabrik capek dibagian fisik kerjanya shift sebulan lembur minggu dipaksa nolak lelah tidur gaji lembur alhamdulillah umr cianjur bootcamp data scientis dishift susah urus jadwalnya kebanyakan bootcamp fix jadwalnya diubah nemu jadwalnya dinamis pas belajar coding jurusan rpl coding tergiur gaji data science,positif
berniat belajar freelance semoga berhasil mohon a ya teman teman terimakasih,positif
sertifikasi coding ya,positif
bnsp,positif
ya abang,positif
hackerrank dewa,positif
mendengarkan auto dubbing ya seru yes yes ya abang wkwk,positif
saran gue sih ambil ya ambil saingan ya resiko ambil jurusan saingannya,negatif
cari pekerjaan indonesia sih susah banget cari lowongan indonesia perusahaan orang ahli disuruh menghandle bidang tau bidang perusahaan luas data science software engineer security system website developer dll terkadang orang disuruh menghandle bidang menghemat anggaran gaji,negatif
terkadang batasan pikiran menghalangi berupaya maksimal berhenti resiko ya bro,positif
terlanjur resign job tetaplah waras semangat kembangkan skill porto berkualitas kuantitas,positif
terimakasih abang dukungannya kelas jurusan tkj ya berminat belajar pemrograman beda jurusan,positif
kuasai ilmu dasar troubleshooting pc laptop install ulang os benerin hardware simpel simpel kayak ngrakit pc langsung belajar pemrograman ngatasin os error becus,positif
dunia dipenuhi orang passionate ngulik komputer isinya orang pengin gaji gede,negatif
banget isinya orang suka komputer,positif
ya gue passion banget ngulik komputer suka lelah perkembangan technology pemrogram susah kerja indonesia pindah design pemasukan tambahan design dibanding programmer seret rejeki disitu,negatif
murni suka komputer ambil job teknisi belajar hasilnya karir stuck mudah tergantikan,positif
bidang prospek kerjanya menjanjikan terisi orang sih resiko,negatif
background elektrikal alhamdulilah menyadari perubahan hidup jago terjun payung payung sadar passive income,positif
mas pasangan tutup mata riset riset keluarga quarter half life explore kayak keluarga hilang penasaran,positif
teman masuk dunia pikir kali banting stir tergiur iklan bootcamp loker gampang dapetinnya termakan konten kreator sukanya pamer bilang kayak raya dunia semenjanjikan orang berpengalaman kena lay off saingan mencari kerja,negatif
saran abang gue senang banget dunia teknologi kelas bentar daftar kuliah niatnya sih ngambil cs rada ngeri lihat industrinya menurutlu gue stay pilihan gue ambil bidang,positif
turn over artificialintelligence persaingan ketat ditambah semrawut dunia kerja banyk dicari pengalaman supply programmer,positif
suka lanjutkan pas kuliah rajin rajin bikin project portfolio saran video cari freelance an terkait bidang ditekuni lulus portfolio bagus modal cari kerja,positif
abang terjun dunia an tawaran kerja banget kerja bengong alfamart haha covid tawaran mencoba apply perusahaan tembus satupun tahap offering gila dunia,positif
alasan dunia susah praktisinya regenerasi maksud kebanyakan praktisinya usia produktif over supply stabil pensiun,negatif
sharing pengalaman gaes mending fokus bidang dunia luas teknisi hardware server engineer network engineer software angineer cyber security digital marketing data analys database admin kadang lapangan perusahaan alasan penghematan request ya pakai otak orang suruh handle bidang terjun lansung drop kesimpulannya istigfar,negatif
pengalaman pribadi nih kayaknya wkwkwk,positif
bangkai,negatif
sebarin abang entar berkurang tumbal proyek palugada nya,negatif
konoha negeri wak,positif
coding hobi,positif
gue lulus kuliah umur kuliah kampus bagus pindah kampus gampang lulus lulus ipk rendah skill rendah pengalaman lamaran kerja lolos umur gue sekolah bahasa jepang part time pekerjaan kasar beres sekolah gue coba interview perusahaan jepang keterima alasan skill pengalaman pekerjaan pabrik pulang indonesia umur pulang coba belajar interview rejeki indonesia rejeki ya skill bahasa jepang jujur hasrat pengin coding gagal berenti belajar kali gue belajar teman semangatin belajar coding bersyukur sih seenggaknya semangat ya salah gue gue orang ya bersungguh doa,negatif
buset niat cerita dikit doang keluhan nasib lantai,negatif
semangat abang mari mendoakan abang,positif
disana hehe visa tg magang,positif
iya ya pulang,positif
bilang dunia worth dimasuki segak worth duduk bangku tertarik web programming belajar belajar javascript sembari mengulang materi html css web sederhana terpikir melanjutkan studi bidang orang sosmed bilang dunia worth ragu dunia kerja bidang pencerahan,negatif
saran dilanjutkan belajarnya kedepannya harap menguasai bahsa pemrograman teruskan belajarnya buatlah project banyaknya portofolio bahasa pemrograman problem kuliah kerja diindonesia namanya sarjana,positif
saran supply ya terbaik ya pintar pintar an jago jagoan coding saran gue bro mumpung lu sekolah belajar rajin bro belajar matematika sains pakai pembisnis b inggris lu suka gue bilang pas lulus gue menyesal banget belajar serius,negatif
menghela napasnyaa eko,positif
konten kesalahan javascript,negatif
kang eko suaranya david,positif
suka bilang gaji programmer gede medioker ya standar pedagang kadang gede gaji pedagang musim sayangnya gaji programmer lihat musim ya segitu,negatif
audio inggris amerika serikat,positif
buset accounting ngeri dunia terukur terstandar kadang beda teknologi berkembang belajar mesti kerjasama departemen sec network compliance wkwkwk,negatif
mesti siaga jam server mati error minggu ya solve bos mah tau,negatif
yt kisah acc migration channel bertha software eng,positif
bos konsekuen,positif
efek samping bootcamp marketingnya flexing gaji,positif
bayangkan orang terjebak masuk diyakini merubah hidupnya hitungan belajar,negatif
sepenuhnya kak pribadi lulusan bootcamp mensyukuri keputusan tergantung membawa commit full coding sabtu minggu tidur resiko konsekuensi ya nyebutnya investasi kepala,positif
pkl jepang,positif
ngiklan ya aga,positif
sih sih kerja buruh pabrik pulang kerja coding tidur malam malam coding hobi sih kayak pengin ya ya tidur sabtu minggu,negatif
mari bermeditasi,positif
contohnya david alfa sunarna flexingnya ampunnn,positif
